

1788082964.165483398  Node Startup
1788083001.950527191 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083002.073956251 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083002.586967468 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running memory benchmark...
1788083003.079750299 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083003.103365898 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083003.608087301 INFO /performance_monitor [performance_monitor.py:461(PerformanceMonitor.benchmark_network)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running network benchmark...
1788083003.814199924 INFO /performance_monitor [performance_monitor.py:507(PerformanceMonitor.benchmark_application)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running application benchmark...
1788083003.907053232 INFO /performance_monitor [performance_monitor.py:360(PerformanceMonitor.run_benchmark)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Benchmark completed with overall score: 0.62
1788083003.908801317 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083004.077414751 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083004.689030408 INFO /performance_monitor [performance_monitor.py:425(PerformanceMonitor.benchmark_memory)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running memory benchmark...
1788083005.092048645 INFO /performance_monitor [performance_monitor.py:401(PerformanceMonitor.benchmark_cpu)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running CPU benchmark...
1788083005.128282070 INFO /performance_monitor [performance_monitor.py:113(PerformanceMonitor.start_monitoring)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Performance monitoring started
1788083005.695210933 INFO /performance_monitor [performance_monitor.py:461(PerformanceMonitor.benchmark_network)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running network benchmark...
1788083006.074919223 INFO /performance_monitor [performance_monitor.py:368(PerformanceMonitor.benchmark_fps)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running FPS benchmark...
1788083006.251871347 INFO /performance_monitor [performance_monitor.py:507(PerformanceMonitor.benchmark_application)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Running application benchmark...
1788083006.366585254 INFO /performance_monitor [performance_monitor.py:360(PerformanceMonitor.run_benchmark)] [topics: /performance/alert, /diagnostic_status, /rosout, /performance/command, /performance/metrics, /performance/benchmark, /performance/benchmark_results] Benchmark completed with overall score: 0.62
